GO_ID	Term	Ontology	clusterProfiler_BH_FDR	clusterProfiler_raw_pvalue	clusterProfiler_FoldEnrichment	clusterProfiler_DE_gene_count	topGO_raw_pvalue	topGO_Annotated	topGO_DE_gene_count	topGO_Expected_DE_genes	gProfiler_Up_FDR	gProfiler_Up_intersection_size	gProfiler_Down_FDR	gProfiler_Down_intersection_size	Methods significantly enriched	Methods included	Significant method(s)	clusterProfiler_included	topGO_included	gProfiler_included	clusterProfiler_significant	topGO_significant	gProfiler_significant
GO:0071805	potassium ion transmembrane transport	GO:BP	0.0014446283802141	3.52679228972476e-06	2.00447562694614	45.0	0.00041	199.0	45.0	22.4			2.0590723086303856e-08	40.0	3	3	clusterProfiler; topGO; gProfiler2 (Up/Down)	True	True	True	True	True	True
GO:0050803	regulation of synapse structure or activity	GO:BP	0.0045915820092887	2.75926055018293e-05	1.70355036814873	59.0	0.0007	309.0	59.0	34.79			4.430263079973097e-08	51.0	3	3	clusterProfiler; topGO; gProfiler2 (Up/Down)	True	True	True	True	True	True
GO:0007269	neurotransmitter secretion	GO:BP	0.0016943275915749	4.77275377908437e-06	2.20034243367689	35.0	0.00801	141.0	35.0	15.87			4.240217333457695e-07	32.0	3	3	clusterProfiler; topGO; gProfiler2 (Up/Down)	True	True	True	True	True	True
GO:0007218	neuropeptide signaling pathway	GO:BP	0.0002818022798916	4.76285543478782e-07	2.56814333180285	31.0	4.5e-07	107.0	31.0	12.05			4.7071023398053276e-07	27.0	3	3	clusterProfiler; topGO; gProfiler2 (Up/Down)	True	True	True	True	True	True
GO:0007626	locomotory behavior	GO:BP	0.0078252209866959	6.31895779207375e-05	2.40757045124011	22.0	0.00124	81.0	22.0	9.12			1.3540581616841388e-05	37.0	3	3	clusterProfiler; topGO; gProfiler2 (Up/Down)	True	True	True	True	True	True
GO:0001508	action potential	GO:BP	0.0036010812681921	1.737787199471e-05	2.05879045038597	36.0	7.9e-05	156.0	36.0	17.56			5.213240551126272e-05	31.0	3	3	clusterProfiler; topGO; gProfiler2 (Up/Down)	True	True	True	True	True	True
GO:0050804	modulation of chemical synaptic transmission	GO:BP	6.56470465537934e-06	2.9386516107136703e-09	1.82219854281128	96.0	0.01515	468.0	96.0	52.68			5.987459582174127e-18	90.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0099177	regulation of trans-synaptic signaling	GO:BP	6.56470465537934e-06	3.6984251579601904e-09	1.81442797333234	96.0	1.0	470.0	96.0	52.91			6.8843887158506496e-18	90.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0061564	axon development	GO:BP	2.00701937598889e-05	1.88452523567032e-08	1.83850834458336	84.0	0.47339	405.0	84.0	45.59			3.935888871547984e-14	84.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0007610	behavior	GO:BP	0.0021069847671663	7.12220202985793e-06	1.6677558667037	73.0	1.0	391.0	73.0	44.02			9.519024761988697e-13	96.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0007409	axonogenesis	GO:BP	3.72794056461455e-05	4.90057914597217e-08	1.87272605522198	75.0	0.17717	355.0	75.0	39.96			1.076062965219982e-12	75.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0048667	cell morphogenesis involved in neuron differentiation	GO:BP	2.51105535256317e-05	2.82935814373314e-08	1.76900167645842	92.0	0.89103	462.0	92.0	52.01			1.2683326290565285e-12	88.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0099003	vesicle-mediated transport in synapse	GO:BP	1.60325134341143e-05	1.20432025796164e-08	2.14219052650114	58.0	1.0	240.0	58.0	27.02			7.368496980712125e-12	51.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0099504	synaptic vesicle cycle	GO:BP	4.8071814755723e-06	9.02757084614517e-10	2.34390873257751	55.0	0.136	208.0	55.0	23.42			2.391723251243845e-11	46.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0048588	developmental cell growth	GO:BP	0.0057634996725414	3.8964504828449e-05	1.94705776377222	38.0	1.0	173.0	38.0	19.48			4.209378827493447e-08	42.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0007416	synapse assembly	GO:BP	0.0036010812681921	1.80700539274508e-05	1.78632906103937	53.0	0.48699	264.0	53.0	29.72			1.3579937330556358e-07	46.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0042391	regulation of membrane potential	GO:BP	0.00195203415408	6.1740575728129e-06	1.65523829549186	76.0	0.55252	408.0	76.0	45.93			2.5080016080520185e-07	63.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0006813	potassium ion transport	GO:BP	0.0036012439397498	1.89361183686375e-05	1.87043525882416	46.0	0.44572	218.0	46.0	24.54			2.804906844179821e-07	42.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0006887	exocytosis	GO:BP	0.0078252209866959	6.21539931277988e-05	1.62812510107054	63.0	0.14653	343.0	63.0	38.61			3.302631673964372e-07	54.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0099643	signal release from synapse	GO:BP	0.0016943275915749	4.77275377908437e-06	2.20034243367689	35.0	1.0	141.0	35.0	15.87			4.240217333457695e-07	32.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0051648	vesicle localization	GO:BP	0.0024725511935895	1.04950316769348e-05	1.9270079698661	45.0	1.0	209.0	45.0	23.53			5.201321719758095e-07	40.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0051650	establishment of vesicle localization	GO:BP	0.0045915820092887	2.68052326561096e-05	1.92292964612035	41.0	0.44607	190.0	41.0	21.39			1.4934417336537585e-06	37.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0006836	neurotransmitter transport	GO:BP	0.005615115794993	3.58523825408007e-05	1.86844204137017	43.0	0.30171	204.0	43.0	22.97			1.952622151903833e-06	38.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0016197	endosomal transport	GO:BP	0.0007191364985367	1.62058929247707e-06	1.8190453083622	63.0	0.02921	308.0	63.0	34.67			2.0583510562962137e-06	46.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0023061	signal release	GO:BP	0.0033604572932766	1.51457230119509e-05	1.60977882765701	77.0	0.66658	425.0	77.0	47.84			6.113963715452352e-06	64.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0050807	regulation of synapse organization	GO:BP	0.0193223334833976	0.0002213450408426	1.61434773634478	55.0	0.13847	304.0	55.0	34.22			6.35317097357106e-06	46.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0051932	synaptic transmission, GABAergic	GO:BP	0.0024725511935895	1.06795638408563e-05	3.01049546990402	18.0	0.01906	54.0	18.0	6.08			6.536898589606448e-06	18.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0016079	synaptic vesicle exocytosis	GO:BP	0.0036010812681921	1.82590036133688e-05	2.37598096078335	26.0	0.05075	97.0	26.0	10.92			9.67435515338294e-06	24.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0060560	developmental growth involved in morphogenesis	GO:BP	0.0327485950901261	0.0004427979054439	1.80469488914406	34.0	0.43507	167.0	34.0	18.8			1.324956182666877e-05	39.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0072657	protein localization to membrane	GO:BP	0.0002818022798916	4.30815723342096e-07	1.72302492481236	83.0	0.04294	428.0	83.0	48.18			1.482734853539744e-05	59.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0010975	regulation of neuron projection development	GO:BP	0.0064785426612804	4.50152260032634e-05	1.61167939297892	68.0	0.19874	375.0	68.0	42.22			1.928910923717868e-05	57.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0034329	cell junction assembly	GO:BP	0.0040879434246112	2.2262978274878e-05	1.55352601281988	85.0	0.02101	486.0	85.0	54.71			6.533866600199995e-05	63.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:1990778	protein localization to cell periphery	GO:BP	0.0005567385588404	1.12371539778072e-06	1.78318463450583	69.0	0.56035	344.0	69.0	38.73			8.116060460152147e-05	49.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0016049	cell growth	GO:BP	0.0114022996552098	0.0001177702311805	1.54160637589288	72.0	1.0	414.0	72.0	46.61			8.46494879412381e-05	60.0	2	3	clusterProfiler; gProfiler2 (Up/Down)	True	True	True	True	False	True
GO:0007268	chemical synaptic transmission	GO:BP					9.3e-09	699.0	161.0	78.69			4.540259173027279e-36	149.0	2	2	topGO; gProfiler2 (Up/Down)	False	True	True	False	True	True
GO:0050808	synapse organization	GO:BP					0.00493	559.0	109.0	62.93			1.0142091791144726e-14	90.0	2	2	topGO; gProfiler2 (Up/Down)	False	True	True	False	True	True
GO:0015031	protein transport	GO:BP					0.00368	1319.0	201.0	148.49			1.1124322970049934e-14	167.0	2	2	topGO; gProfiler2 (Up/Down)	False	True	True	False	True	True
GO:0051260	protein homooligomerization	GO:BP	0.0041847571998157	2.35760969003707e-05	1.88418557053574	44.0	6.7e-06	207.0	44.0	23.3					2	2	clusterProfiler; topGO	True	True	False	True	True	False
GO:1900242	regulation of synaptic vesicle endocytosis	GO:BP	0.005615115794993	3.5483064342301e-05	4.22106507684955	10.0	3.5e-05	21.0	10.0	2.36					2	2	clusterProfiler; topGO	True	True	False	True	True	False
GO:0014059	regulation of dopamine secretion	GO:BP	0.0077645352003627	5.84830373346209e-05	4.02919848244729	10.0	5.7e-05	22.0	10.0	2.48					2	2	clusterProfiler; topGO	True	True	False	True	True	False
GO:0060078	regulation of postsynaptic membrane potential	GO:BP	0.0077645352003627	5.97832757211025e-05	2.04068757672151	32.0	6.9e-05	139.0	32.0	15.65					2	2	clusterProfiler; topGO	True	True	False	True	True	False
GO:0042053	regulation of dopamine metabolic process	GO:BP	0.0089558397375449	8.00076477923525e-05	4.72759288607149	8.0	7.9e-05	15.0	8.0	1.69					2	2	clusterProfiler; topGO	True	True	False	True	True	False
GO:0110076	negative regulation of ferroptosis	GO:BP	0.0095359865836567	9.3121371333362e-05	4.19884894486613	9.0	9.2e-05	19.0	9.0	2.14					2	2	clusterProfiler; topGO	True	True	False	True	True	False
